Request Name,Job Title,Job Description,Department,Gender Preference,# of Volunteers,Stage,Skills/Keywords,Add'l Skills,Languages,Work Experience Needed?,Number of Years,Educational Qualification
Farmer Producer Organisation (FPO) - Company Secretary - 2502,Company Secretary,"To support for following compliance on MCA:
KYC updation of each directors of FPO, AGM doc preparation and filing of each FPO, event based reporting like: filing of INC 22 for change is FPO address, INC 20A, DIR 12 (Change in composition of Director)

Each participant will be handling approx 12 FPO.",Farmer Producer Organisation (FPO),Any,2,Approved,Accounting / Auditor,,,0,,
Farmer Producer Organisation (FPO) - Content Creator - 2503,Content Creator,"Support Funds raise related documents including Pitch deck, CSR grant proposal, Donor communication, Project updates, Donor prospects tracking",Farmer Producer Organisation (FPO),Any,2,Approved,Media and Communication / Content Writer,,Tamil,0,,Master of Business Management (M.B.M)
,,,,,,,,,English (UK),,,
Farmer Producer Organisation (FPO) - Copywriter & Script Writer - 2504,Copywriter & Script Writer,"Success Stories Script Writing, Shoot Coordination, Video out, etc.,",Farmer Producer Organisation (FPO),Any,1,Approved,Media and Communication / Script Writer,,Tamil,1,0 ~ 5,Bachelor - Other
,,,,,,,,,English (UK),,,
Farmer Producer Organisation (FPO) - Graphic Designer - 2505,Graphic Designer,"FPOs Logo, Product Label Designing, Meeting and Training content Design, News letter design, etc.,",Farmer Producer Organisation (FPO),Any,1,Approved,Arts and Crafts / Graphic Designer,,,0,,
Farmer Producer Organisation (FPO) - Account Auditor - 2506,Account Auditor,Process Auditor - Process Documentation and Audit process of all 24 FPOs,Farmer Producer Organisation (FPO),Any,2,Approved,Accounting / Auditor,,Tamil,0,,
,,,,,,,,,Kannada,,,
Farmer Producer Organisation (FPO) - Project Manager - 2507,Project Manager,"Project Basic work, Design monitoring mechanism, Project Plan, Execution, Reports preparation, etc.,",Farmer Producer Organisation (FPO),Any,1,Approved,IT / Project Manager,,,0,,
Construction - LSP - Product/ Mechanical Engineer - 2510,Product/ Mechanical Engineer,Mechanical Electrical and Plumbing related works,Construction - LSP,Any,1,Approved,Construction & Fabrication / Civil Engineer,Engineering / Electrical Engineer,,0,,
,,,,,,,Engineering / Mechanial Engineer,,,,,
,,,,,,,,Engineering / Mechanial Engineer,,,,
,,,,,,,,Engineering / Plumbing Engineer,,,,
Construction - LSP - Project Manager - 2512,Project Manager,Civil or construction,Construction - LSP,Any,2,Approved,Construction & Fabrication / Civil Engineer,,Tamil,0,,
,,,,,,,Construction & Fabrication / Construction - Others,,,,,
Isha Bhiksha - Front Office Activities - 2513,Front Office Activities,Donation collection in the stall,Isha Bhiksha,Male,4,Approved,Soft Skills / Articulate in communication,,English (UK),1,0 ~ 5,Bachelor - Other
,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,,
,,,,,,,,,Tamil,,,
Ashram Programs - Access Control - 2514,Access Control,Coordinate Ashram Program check-in at different places and give participants & volunteers program wristband,IYC Programs / Ashram Programs,Any,6,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,0,,
Ashram Programs - Access Control - 2515,Access Control,"Program volunteering coordination
To handle front office and enroll volunteers for program through calls & email",IYC Programs / Ashram Programs,Any,2,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,0,,
Isha Bhiksha - Marketing Manager/ Executive - 2516,Marketing Manager/ Executive,"Conceptualise, plan, and ensure execution of engaging promotional campaigns for various Bhiksha retail offerings, across various channels, including digital, social media, email, and physical stalls or standees. Collaborate with Bhiksha, regional, and Emedia teams to reach the set marketing goals.",Isha Bhiksha,Any,1,Approved,Soft Skills / Articulate in communication,,English (UK),0,,Master of Business Management (M.B.M)
,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,,
,,,,,,,Media and Communication / Creative Writer,,,,,
,,,,,,,Corporate / Media Executive,,,,,
,,,,,,,IT / Project Manager,,,,,
Ashram Programs - On ground Support - 2517,On ground Support,To maintain and handle inventory of program materials rooms,IYC Programs / Ashram Programs,Male,3,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,Tamil,0,,
Electrical - Developer - 2518,Developer,"1. Coding 
2. Java Configration 
3. Jira service Desk",Electrical,Male,1,Approved,IT / Automation Test Engineer,,English (US),1,0 ~ 5,Bachelor of Technology (B.Tech)
,,,,,,,IT / Developer - full stack,,,,,
,,,,,,,IT / IT / Developer,,,,,
,,,,,,,,,Tamil,,,
Ashram Programs - Promotions - 2519,Promotions,"support in program promotion activites Online and offline
They need to have good communication and computer skills
Photo & Video knowledge is also needed",IYC Programs / Ashram Programs,Any,3,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,0,,
,,,,,,,Arts and Crafts / Photographer,,,,,
,,,,,,,Arts and Crafts / Video Editor,,,,,
Ashram Programs - Front Office Activities - 2520,Front Office Activities,Handle Program registration and answer enquiries at welcome point,IYC Programs / Ashram Programs,Any,3,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,0,,
Ashram Programs - On ground Support - 2521,On ground Support,Program Manager - Support in materials & things needed for the program,IYC Programs / Ashram Programs,Male,2,Approved,Soft Skills / Strong Interpersonal skills (Coordinator),,,0,,
Emedia Operations - Platform Manager - 2522,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,2,Approved,Emedia / Active on Social Media,,Italian / Italiano,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Social media Manager - 2523,Social media Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,Indonesian / Bahasa Indonesia,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2524,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,Indonesian / Bahasa Indonesia,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Content Strategist - 2525,Content Strategist,Has 3-5 experience with creating video/static creative contents for Social Media either as a content creator or working for an ad agency,E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,English (US),0,,
Emedia Operations - Content Strategist - 2526,Content Strategist,"The role of the strategist, is to provide actionable insights based on researches and data analytics. He/she will be the catalyst of 
1. Growth marketing, a strategy-based, data-driven approach to achieving sustainable growth of the platform 
2. Growth hacking, seeking to reach short-term goals or solve a business problem, with rapid experimentation and iteration to produce a solution.",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,,0,,
Emedia Operations - Media Coordinator - 2527,Media Coordinator,"Coordinating between teams, Time management, Communication skills, Creating & managing WhatsApp groups, Overlooking projects, Basic planning",E-Media Panel / Emedia Operations,Any,2,Approved,Emedia / Active on Social Media,,,0,,
Emedia Operations - Media Operations - 2528,Media Operations,"Report generating, presentation making, database maintenance, meeting arrangement, project admin and follow ups",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,,0,,
Emedia Operations - Data Analyst - 2529,Data Analyst,"Analysing data, providing insights, and reporting, has prior data analyst experience",E-Media Panel / Emedia Operations,Any,1,Approved,IT / Data Analyst,,,0,,
Emedia Operations - Project Manager - 2530,Project Manager,Prior Education or work experience as a Project Manager. Planning and overseeing projects. Coordination between various teams.,E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,,0,,
Emedia Operations - Platform Manager - 2531,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,Bengali / বাংলা,0,,
,,,,,,,Emedia / Influencer,,,,,
,,,,,,,Emedia / Social Media Campaigns,,,,,
Emedia Operations - Platform Manager - 2532,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Any,1,Approved,Emedia / Active on Social Media,,Malayalam,0,,
