Request Name,Job Title,Job Description,Department,Languages,Skills/Keywords,Add'l Skills
Electrical - Developer - 2518,Developer,"1. Coding 
2. Java Configration 
3. Jira service Desk",Electrical,"English (US),Tamil","IT / Automation Test Engineer,IT / Developer - full stack,IT / IT / Developer",NA
Ashram Programs - Promotions - 2519,Promotions,"support in program promotion activites Online and offline
They need to have good communication and computer skills
Photo & Video knowledge is also needed",IYC Programs / Ashram Programs,NA,"Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Arts and Crafts / Photographer,Arts and Crafts / Video Editor",NA
Ashram Programs - Front Office Activities - 2520,Front Office Activities,Handle Program registration and answer enquiries at welcome point,IYC Programs / Ashram Programs,NA,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Ashram Programs - On ground Support - 2521,On ground Support,Program Manager - Support in materials & things needed for the program,IYC Programs / Ashram Programs,NA,Soft Skills / Strong Interpersonal skills (Coordinator),NA
Emedia Operations - Platform Manager - 2522,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Italian / Italiano,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Social media Manager - 2523,Social media Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Indonesian / Bahasa Indonesia,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2524,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Indonesian / Bahasa Indonesia,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Content Strategist - 2525,Content Strategist,Has 3-5 experience with creating video/static creative contents for Social Media either as a content creator or working for an ad agency,E-Media Panel / Emedia Operations,English (US),Emedia / Active on Social Media,NA
Emedia Operations - Content Strategist - 2526,Content Strategist,"The role of the strategist, is to provide actionable insights based on researches and data analytics. He/she will be the catalyst of 
1. Growth marketing, a strategy-based, data-driven approach to achieving sustainable growth of the platform 
2. Growth hacking, seeking to reach short-term goals or solve a business problem, with rapid experimentation and iteration to produce a solution.",E-Media Panel / Emedia Operations,NA,Emedia / Active on Social Media,NA
Emedia Operations - Media Coordinator - 2527,Media Coordinator,"Coordinating between teams, Time management, Communication skills, Creating & managing WhatsApp groups, Overlooking projects, Basic planning",E-Media Panel / Emedia Operations,NA,Emedia / Active on Social Media,NA
Emedia Operations - Media Operations - 2528,Media Operations,"Report generating, presentation making, database maintenance, meeting arrangement, project admin and follow ups",E-Media Panel / Emedia Operations,NA,Emedia / Active on Social Media,NA
Emedia Operations - Data Analyst - 2529,Data Analyst,"Analysing data, providing insights, and reporting, has prior data analyst experience",E-Media Panel / Emedia Operations,NA,IT / Data Analyst,NA
Emedia Operations - Project Manager - 2530,Project Manager,Prior Education or work experience as a Project Manager. Planning and overseeing projects. Coordination between various teams.,E-Media Panel / Emedia Operations,NA,Emedia / Active on Social Media,NA
Emedia Operations - Platform Manager - 2531,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Bengali / বাংলা,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2532,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Malayalam,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2533,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Tamil,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2534,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Hindi / हिंदी,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
Emedia Operations - Platform Manager - 2535,Platform Manager,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,Marathi,"Emedia / Active on Social Media,Emedia / Influencer,Emedia / Social Media Campaigns",NA
